vpn,hostname,ip,type(switches|firewalls|servers|linux|windows)
51,WKS051PMC01,10.200.18.114,windows
51,WKS051PMC02,10.200.18.115,windows
51,WKS051PMC03,10.200.18.116,windows
51,WKS051PMC04,10.200.18.117,windows
51,WKS051PMC05,10.200.18.118,windows
51,WKS051PMC06,10.200.18.119,windows
51,WKS051PMC07,10.200.18.120,windows
51,WKS051PMC08,10.200.18.121,windows
51,WKS051PMC09,10.200.18.122,windows
51,WKS051PMC10,10.200.18.123,windows
51,SVR051RHV01,10.200.18.51,linux
51,SVR051RHV02,10.200.18.53,linux
51,SVR051GKPR01,10.200.18.55,windows
51,SVR051RHV01-TSM,10.200.18.52,servers
51,SVR051RHV02-TSM,10.200.18.54,servers
51,SVR051GKPR01-TSM,10.200.18.56,servers
51,SVR051ODB01,10.200.18.74,linux
51,SVR051ODB02,10.200.18.75,linux
51,SVR051MQ01,10.200.18.81,linux
51,SVR051MQ02,10.200.18.82,linux
